gene,diff,pval
Vldlr,-0.16284,0.001
Acsbg1,0.110951,0.001
Chl1,-0.163086,0.001
Abcb7,0.184427,0.001
C77080,0.116279,0.001
Col16a1,-0.140813,0.001
Slc6a15,0.187192,0.001
Adam10,0.111111,0.001
4921536K21Rik,-0.12391,0.001
Adamtsl3,0.130453,0.001
Pag1,0.110614,0.001
Npc1l1,0.152296,0.001
Pign,-0.284901,0.001
Adpgk,0.140573,0.001
Hhipl1,-0.128622,0.001
Sema4b,0.132887,0.001
Klf16,-0.174738,0.001
Zfp512,0.109524,0.001
Fam188a,0.288956,0.001
Ptprn,0.113243,0.001
Dcaf4,-0.168139,0.001
Zfp9,0.116279,0.001
Rpia,-0.183036,0.001
Garnl3,0.217925,0.001
H2-Q4,-0.158721,0.001
Sh3bp1,-0.114286,0.001
Snai1,0.1375,0.001
Asah2,-0.103988,0.001
Lrba,-0.12032,0.001
Cand2,-0.109091,0.001
Tfeb,-0.131202,0.001
Kcnh2,0.10622,0.001
Nmnat2,0.133678,0.001
Slc8a2,0.166517,0.001
Tigit,0.105172,0.001
Speg,0.105868,0.001
Ak8,-0.303853,0.001
Fzd2,-0.118008,0.001
Sez6l2,0.163389,0.001
Them4,-0.130056,0.001
Gucy1a2,0.118101,0.001
Spata5l1,-0.142424,0.05
Ddb2,-0.118812,0.05
Nars2,0.157917,0.05
Ptprv,-0.101648,0.05
Gba2,0.116291,0.05
Caskin1,0.112497,0.05
Fgl1,0.127733,0.05
Bmf,0.113841,0.05
Ly6c2,0.119682,0.05
Adam8,0.10051,0.05
Obscn,-0.109976,0.05
Shf,-0.195752,0.05
Ngb,0.115602,0.05
Lysmd1,-0.190058,0.05
6530402F18Rik,0.16207,0.05
Extl1,0.126667,0.05
Sgk2,-0.167387,0.05
Col2a1,0.197083,0.05
Ephb6,-0.10665,0.05
Oplah,-0.126596,0.05
Rufy4,-0.136646,0.05
Pitx2,-0.110513,0.05
Foxd2os,-0.161945,0.05
Dnah1,0.148485,0.05
Espnl,-0.139188,0.05
Selplg,-0.113044,0.05
Fut2,-0.185715,0.05
Acvr2b,0.103928,0.05
Saxo2,-0.104007,0.05
Tnfsf18,-0.122642,0.05
Chst15,0.18644,0.05
Igsf10,-0.138269,0.05
Fignl2,0.126169,0.05
Pcsk6,0.101071,0.05
Atp7b,-0.136278,0.05
Resp18,-0.102552,0.05
Nkpd1,0.108012,0.05
Tmem59l,0.104649,0.05
Pou2f2,0.378261,0.05
Fam19a5,0.153536,0.05
Ppl,-0.228243,0.05
Negr1,0.253341,0.05
Zfp808,-0.147742,0.05
Dmtn,0.130184,0.05
Srl,0.113698,0.05
Bpifb4,0.160714,0.05
Ccdc39,0.102381,0.05
Engase,-0.13098,0.05
Macrod2,0.130581,0.05
Cd79a,-0.103896,0.05
Pdzd2,0.105263,0.05
Kctd19,-0.109326,0.05
Sptb,-0.104762,0.05
Npas1,0.182883,0.05
Rarb,0.119673,0.05
Serinc2,0.191667,0.05
Gm5069,0.111689,0.05
Gpr153,0.167437,0.05
Slco4a1,0.210127,0.05
Gm7609,-0.11847,0.05
9930012K11Rik,0.247858,0.05
Zfp709,-0.144595,0.05
3830432H09Rik,0.123684,0.05
Mmp9,-0.130268,0.05
Il31,-0.15198,0.05
Slc16a9,0.140625,0.05
Fgd5,0.116234,0.05
Lox,0.119546,0.05
Slc7a15,0.141563,0.05
Wisp2,0.10787,0.05
Arxes1,-0.405093,0.05
Gab3,0.134127,0.05
Lfng,-0.104767,0.05
Zfp455,-0.102431,0.05
Clca1,0.117367,0.05
Aldh1a7,0.252508,0.05
Fgf22,0.128959,0.05
Syt3,0.100217,0.05
Hapln3,0.167763,0.05
Fbxo24,-0.168485,0.05
Megf11,0.108942,0.05
Bfsp1,-0.172881,0.05
Nwd1,-0.211549,0.05
Mrgpra1,0.104166,0.05
Fhad1,0.10145,0.05
Cntn3,-0.138623,0.05
Rdh12,-0.103735,0.05
Vash1,-0.119447,0.05
Slc38a4,-0.173077,0.05
Kiss1r,0.17122,0.05
Coro6,-0.109413,0.05
Nhs,-0.112403,0.05
Adcy5,-0.171429,0.001
Col6a4,-0.111111,0.001
Slc1a1,-0.124082,0.001
E430018J23Rik,0.138365,0.001
Trim14,0.102814,0.001
Ptch2,-0.209153,0.001
Cxcr2,-0.198276,0.001
Rab17,0.139611,0.001
Gm15908,-0.113681,0.001
Mtag2,-0.111142,0.001
Adgrf4,-0.100952,0.001
1700028J19Rik,-0.131579,0.001
Zkscan7,-0.13948,0.001
Gjb5,0.103938,0.001
Sptbn4,-0.115369,0.001
