"GeneNames","value1","value2","log2(Fold_change)","log2(Fold_change) normalized","z-score","p-value","q-value(Benjamini et al. 1995)","q-value(Storey et al. 2003)","Signature(q-value(Storey et al. 2003) < 0.01)","mu","clr","pch"
"Lrrc15",300,3060,-3.35049724708413,-3.19692260952668,-48.5399424906605,0,0,0,TRUE,9.90406731403795,"red","4"
"Tchhl1",168,2048,-3.60768257722124,-3.45410793966379,-41.0333731933005,0,0,0,TRUE,9.19615871138938,"red","4"
"Padi3",202,2036,-3.3333103633239,-3.17973572576645,-39.4972648484836,0,0,0,TRUE,9.32486666441375,"red","4"
"Crnn",123,1680,-3.77173101232688,-3.61815637476943,-37.837908655428,0,0,0,TRUE,8.82838001150268,"red","4"
"Krt26",172,1808,-3.39391420771309,-3.24033957015564,-37.5329400464655,0,0,0,TRUE,9.12322185855864,"red","4"
"Lyg2",88,1371,-3.96158123714193,-3.80800659958448,-34.810447060688,1.69029812438363e-265,3.16230631956114e-262,9.66783044635907e-263,TRUE,8.44022223720826,"red","4"
"Krt73",181,1451,-3.00298591698354,-2.84941127942609,-31.6395399354802,1.05621977964791e-219,1.72903177928363e-216,5.28601102779962e-217,TRUE,9.00133884557497,"red","4"
"Krt33b",188,1464,-2.96111098660641,-2.80753634904895,-31.5419930917691,2.30890279652471e-218,3.35971011369863e-215,1.02713350465883e-215,TRUE,9.03514434498084,"red","4"
"Gprc5d",122,1230,-3.33370526266371,-3.18013062510626,-30.7004458662885,5.61420131116826e-207,6.12696503092162e-204,1.87314109020096e-204,TRUE,8.59758996889475,"red","4"
"Krt72",161,1336,-3.05278741435944,-2.89921277680198,-30.6249040972878,5.70581243628156e-206,5.74794766658025e-203,1.75726757118061e-203,TRUE,8.85731058529433,"red","4"
"Krt34",252,1572,-2.64110557875869,-2.48753094120124,-30.6108220568054,8.78553238288269e-206,8.21823800615941e-203,2.51248688717794e-203,TRUE,9.29783271287926,"red","4"
"Krt33a",270,1527,-2.49966874974602,-2.34609411218857,-29.1601579325102,6.21048996573104e-187,5.08328603695086e-184,1.55406663837694e-184,TRUE,9.32664997192384,"red","4"
"Krt86",143,1201,-3.07014909892725,-2.91657446136979,-29.1224163554941,1.86784418597202e-186,1.43889926232291e-183,4.399015367828e-184,TRUE,8.69494588624201,"red","4"
"Krtap14",118,1061,-3.16856589155292,-3.01499125399547,-27.8174644942738,2.66727356144838e-170,1.7465307280364e-167,5.33950896646699e-168,TRUE,8.4669259951383,"red","4"
"Serpinb6c",1015,180,2.49541091574286,2.64898555330031,26.8626792999469,5.99754294949113e-159,3.5701737484789e-156,1.09147663054749e-156,TRUE,8.73955855420111,"red","4"
"Crym",86,919,-3.41765629658694,-3.26408165902949,-26.8437828641022,9.96901706836253e-159,5.67627163162068e-156,1.73535471129193e-156,TRUE,8.13509290299557,"red","4"
"Krtap16-1",48,798,-4.05528243550119,-3.90170779794374,-26.7726614963305,6.72734096713749e-158,3.67088572106802e-155,1.12226638259925e-155,TRUE,7.61260371847175,"red","4"
"Krt75",39,754,-4.27301849440641,-4.11944385684896,-26.4589359088958,2.87959873893757e-154,1.45043173404333e-151,4.43427254090156e-152,TRUE,7.42191146606546,"red","4"
"Vsig8",114,945,-3.05128050494369,-2.89770586738624,-25.7495457570825,3.26140905737076e-146,1.58190418575287e-143,4.83621126632883e-144,TRUE,8.35853026663659,"red","4"
"Fam26d",91,873,-3.26204320343074,-3.10846856587329,-25.5970330738868,1.64610854351136e-144,7.69908481636598e-142,2.35377092144235e-142,TRUE,8.13881624191407,"red","4"
"Krtap15",219,1200,-2.45403163089471,-2.30045699333726,-25.5481224715704,5.76088460470206e-144,2.51481815943927e-141,7.68832399900392e-142,TRUE,9.00180287504853,"red","4"
"Krt81",106,912,-3.10496955960154,-2.95139492204409,-25.5260086579601,1.01419091783187e-143,4.28446589029876e-141,1.30985064680153e-141,TRUE,8.28040523436397,"red","4"
"Cd82",211,1176,-2.47857315612918,-2.32499851857173,-25.452653854571,6.59772653667344e-143,2.6182977795235e-140,8.00468279556945e-141,TRUE,8.96038576677177,"red","4"
"Krtap1-5",203,1134,-2.48186900775705,-2.3282943701996,-25.0151072655275,4.18741693860181e-138,1.52328922855359e-135,4.65701310822571e-136,TRUE,8.9062704210637,"red","4"
"Cemip",1158,306,1.92003169529658,2.07360633285404,24.8156504948655,6.07653547382795e-136,2.15076509635813e-133,6.5753378010588e-134,TRUE,9.21740369034094,"red","4"
"Krtap1-4",139,963,-2.79245091511995,-2.6388762775625,-24.7577927501675,2.55558233032536e-135,8.80734373630024e-133,2.692588804527e-133,TRUE,8.51516653028348,"red","4"
"Gm11595",66,745,-3.49670249599107,-3.34312785843362,-24.4177059559857,1.10926206088442e-131,3.63172398733558e-129,1.11029382322482e-129,TRUE,7.79274536735399,"red","4"
"Krt28",122,881,-2.85226087135753,-2.69868623380008,-23.9672066383566,6.1141060932846e-127,1.95293496091842e-124,5.97052978648392e-125,TRUE,8.35686777324165,"red","4"
"Ccng1",1024,258,1.98877274457675,2.1423473821342,23.823655147571,1.89959320728886e-125,5.92311253396545e-123,1.81081912713089e-123,TRUE,9.00561362771163,"red","4"
"Adh7",578,51,3.50250034052918,3.65607497808663,23.4971074800255,4.36614125087746e-122,1.27064412936647e-119,3.88462430865375e-120,TRUE,7.42367551223609,"red","4"
"Magi1",76,729,-3.26184749088335,-3.1082728533259,-23.3900842137726,5.39166045903235e-121,1.53498229068451e-118,4.69276123970216e-119,TRUE,7.87885125888526,"red","4"
"Krtap11-1",89,763,-3.09980581586813,-2.94623117831068,-23.3278031469414,2.31577595915071e-120,6.45263871511439e-118,1.97270633282596e-118,TRUE,8.02563633890046,"red","4"
"Krt31",79,731,-3.20994684777533,-3.05637221021788,-23.2391333277424,1.83215890551865e-119,4.99874021389006e-117,1.5282192156512e-117,TRUE,7.90875417206477,"red","4"
"Chil4",6,520,-6.4374053123073,-6.28383067474985,-23.0347374290021,2.09221027083327e-117,5.59175218506787e-115,1.70951535241521e-115,TRUE,5.80366515687481,"red","4"
"Krtap4-7",101,779,-2.94726803530987,-2.79369339775242,-22.9494686764521,1.49158396704061e-116,3.90675672647277e-114,1.19437707198312e-114,TRUE,8.13184550040673,"red","4"
"Nqo1",483,24,4.33091687811462,4.48449151567207,22.8231207977458,2.70306990690162e-115,6.94105950995758e-113,2.12202676398758e-113,TRUE,6.75042093977846,"red","4"
"Krtap10-10",25,547,-4.45154083301783,-4.29796619546038,-22.7964610301855,4.97117479542606e-115,1.25197125232499e-112,3.82753742618888e-113,TRUE,6.86962660628364,"red","4"
"Serpinb3a",945,241,1.97128118287847,2.12485582043592,22.768204557571,9.47484222030537e-115,2.34117988145508e-112,7.15747554192531e-113,TRUE,8.8985299276692,"red","4"
"Krtap26-1",23,536,-4.54252723440076,-4.38895259684331,-22.6833091188679,6.54754013171625e-114,1.58789973268437e-111,4.8545409046717e-112,TRUE,6.79482557325739,"red","4"
"Tgm6",30,557,-4.21464292173151,-4.06106828417406,-22.6468343234487,1.49901957584887e-113,3.56930188460306e-111,1.09121008356335e-111,TRUE,7.01421205647427,"red","4"
"Krt2",50,617,-3.62527048937469,-3.47169585181724,-22.5673428989192,9.07373112621456e-113,2.12195683623046e-110,6.4872649370715e-111,TRUE,7.45649143446207,"red","4"
"D730001G18Rik",117,803,-2.77889145793391,-2.62531682037646,-22.5443286032677,1.52641444137293e-112,3.50700412705612e-110,1.07216435882041e-110,TRUE,8.25981044855036,"red","4"
