"GeneNames","value1","value2","log2(Fold_change)","log2(Fold_change) normalized","z-score","p-value","q-value(Benjamini et al. 1995)","q-value(Storey et al. 2003)","Signature(q-value(Storey et al. 2003) < 0.01)","mu","clr","pch"
"Selp",27,178,-2.72084592880293,-2.70861952529494,-11.0537131705889,2.10331389011448e-28,1.98898375651611e-25,1.44055225232467e-25,TRUE,6.11531046656493,"red","4"
"Fam19a5",10,67,-2.74416109557041,-2.73193469206242,-6.81243090528943,9.59631508437742e-12,2.26867170360844e-09,1.64312057436952e-09,TRUE,4.69400864267257,"red","4"
"Ces1f",10,48,-2.26303440583379,-2.2508080023258,-5.1637089025658,2.42104105982063e-07,1.85272616132747e-05,1.34186558130371e-05,TRUE,4.45344529780426,"red","4"
"Dnah6",3,25,-3.05889368905357,-3.04666728554558,-4.39443440882406,1.11061529698609e-05,0.000503542325917771,0.000364698318608804,TRUE,3.11440934524794,"red","4"
"Mx2",20,2,3.32192809488736,3.33415449839535,4.10973006924165,3.96121882307047e-05,0.00149409048429145,0.00108211814464131,TRUE,2.66096404744368,"red","4"
"2410021H03Rik",16,1,4,4.01222640350799,3.93303621716711,8.38795937410489e-05,0.00280424732711552,0.00203101950426561,TRUE,2,"red","4"
"Slc6a12",1,16,-4,-3.98777359649201,-3.90906604052873,9.26536346654087e-05,0.00306660367333836,0.00222103514628623,TRUE,2,"red","4"
"A4galt",6,27,-2.16992500144231,-2.15769859793432,-3.77296070422201,0.000161321704228128,0.00478865031900491,0.00346825406695165,TRUE,3.66992500144231,"red","4"
"Il33",3,19,-2.66296501272243,-2.65073860921444,-3.56983571265233,0.000357205178121219,0.00880640475446336,0.00637817486561366,TRUE,2.91644500708237,"red","4"
"Csf2",5,23,-2.20163386116965,-2.18940745766166,-3.51409703229849,0.000441251597786889,0.0102128145159102,0.00739678889044229,TRUE,3.42274502547219,"red","4"
"Cyp4f40",18,3,2.58496250072116,2.59718890422915,3.45075865239794,0.000559013224469318,0.0121125631403426,0.00877271121801841,TRUE,2.87744375108173,"red","4"
"Fam167a",1,13,-3.70043971814109,-3.6882133146331,-3.43253028237574,0.000597977098777152,0.0127481784391477,0.00923306543021649,TRUE,1.85021985907055,"red","4"
"Clstn3",3,18,-2.58496250072116,-2.57273609721316,-3.41826939632249,0.000630206960186404,0.0133067144272852,0.00963759375935939,TRUE,2.87744375108173,"red","4"
"Malat1",3832,2457,0.641199703374015,0.653426106882008,17.7438418700215,1.92324360998791e-70,2.54618221526299e-66,1.84411185511681e-66,FALSE,11.5832819940492,"purple","3"
"Ahnak",11811,9786,0.271339930447155,0.283566333955147,14.4203012982018,3.85655290054751e-47,2.55284519251743e-43,1.84893761945984e-43,FALSE,13.3921735326566,"purple","3"
"Dst",7194,5654,0.347522276304204,0.359748679812196,14.086781524011,4.57962306404328e-45,2.0209876581623e-41,1.46373157314545e-41,FALSE,12.6388173059833,"purple","3"
"Sema3c",1884,2858,-0.601206951483032,-0.58898054797504,-13.9078651922801,5.67480627356799e-44,1.87821900639416e-40,1.1568916313001e-40,FALSE,11.1801867253543,"purple","3"
"Timp3",642,1249,-0.960128274485655,-0.947901870977663,-13.9034898460261,6.03267212661967e-44,1.59733092568636e-40,1.1568916313001e-40,FALSE,9.80649362436513,"purple","3"
"Kcnq1ot1",627,243,1.36750912919626,1.37973553270425,13.3609405068016,1.02263821869496e-40,2.25645122955042e-37,1.63426970700015e-37,FALSE,8.60856706820391,"red","4"
"Ctgf",165,491,-1.57325700006888,-1.56103059656088,-12.9084087416752,4.03554426371396e-38,7.63236721532987e-35,5.52786001725368e-35,FALSE,8.15295071428026,"red","4"
